userId,dataset,method,position,value,time
1,20210701,Viridis,1,A,5.073
1,20210701,Rainbow,1,B,2.253
1,20210709,Ours,1,B,2.797
1,20210729,Ours,1,B,2.002
1,20210718,Rainbow2,1,B,2.031
1,20210709,Viridis2,1,D,1.796
1,20210709,OMC,1,D,2.975
1,20210729,Viridis,1,A,2.882
1,20210718,Viridis,1,C,3.412
1,20210718,OMC,1,C,4.321
1,20210729,Viridis2,1,C,35.447
1,20210718,Viridis2,1,D,1.701
1,20210701,Ours,1,A,1.866
1,20210729,Rainbow2,1,D,4.59
1,20210718,Ours,1,D,4.284
1,20210709,Rainbow,1,D,31.971
1,20210718,Rainbow,1,B,4.899
1,20210729,OMC,1,B,5.005
1,20210701,OMC,1,C,3.932
1,20210709,Viridis,1,D,3.757
1,20210729,Rainbow,1,C,4.287
1,20210701,Viridis2,1,A,1.964
1,20210701,Rainbow2,1,A,4.263
1,20210709,Rainbow2,1,B,2.874
2,20210701,Viridis,1,D,10.399
2,20210701,Rainbow,1,B,3.027
2,20210709,Ours,1,C,6.852
2,20210729,Ours,1,D,8.805
2,20210718,Rainbow2,1,B,3.939
2,20210709,Viridis2,1,D,4.941
2,20210709,OMC,1,B,12.63
2,20210729,Viridis,1,D,6.27
2,20210718,Viridis,1,B,5.665
2,20210718,OMC,1,C,3.73
2,20210729,Viridis2,1,C,5.365
2,20210718,Viridis2,1,A,5.469
2,20210701,Ours,1,A,5.813
2,20210729,Rainbow2,1,B,4.75
2,20210718,Ours,1,C,6.427
2,20210709,Rainbow,1,B,7.309
2,20210718,Rainbow,1,D,4.501
2,20210729,OMC,1,B,5.508
2,20210701,OMC,1,D,27.472
2,20210709,Viridis,1,B,6.669
2,20210729,Rainbow,1,D,4.396
2,20210701,Viridis2,1,D,5.82
2,20210701,Rainbow2,1,A,3.594
2,20210709,Rainbow2,1,B,3.948
3,20210701,Viridis,1,A,6.532
3,20210701,Rainbow,1,B,5.111
3,20210709,Ours,1,B,6.131
3,20210729,Ours,1,D,7.181
3,20210718,Rainbow2,1,B,6.479
3,20210709,Viridis2,1,B,4.837
3,20210709,OMC,1,D,5.471
3,20210729,Viridis,1,B,5.642
3,20210718,Viridis,1,B,6.232
3,20210718,OMC,1,A,11.153
3,20210729,Viridis2,1,C,6.843
3,20210718,Viridis2,1,A,4.553
3,20210701,Ours,1,A,8.299
